table_id,provisional_title,source_file,chapter_destination,status,notes
TAB-01,Project deliverables and timelines (ToR Table 1),source_reports/terms_of_reference_revised_mlnr.md,Ch2 Objectives Scope and Approach,ready,Table title explicitly present in normalized ToR.
TAB-02,Comparative Analysis of Ghana National Mangrove Extent Estimates (Table 1),source_reports/geo_social_mangrove_extent_baseline_report.md,Ch5.1 Mangrove extent and distribution,partial,Table referenced in text; verify full numeric rows in source artifact.
TAB-03,Spatial Correlation Matrix of Degradation Drivers and GIS Evidence (Table 2),source_reports/geo_social_mangrove_extent_baseline_report.md,Ch5.5 Cross-cutting synthesis,partial,Table heading present; full matrix values not visible in normalized markdown.
TAB-04,Integrated Profile of Prioritized Early Action Hubs (Table 3),source_reports/geo_social_mangrove_extent_baseline_report.md,Ch5.5 Cross-cutting synthesis,partial,Table heading present; check compiled source for full table body.
TAB-05,Comparative Demographic Indicators Project Regions vs National Averages (SDP-1),source_reports/socio_demographic_profile_report_of_waca_blue_carbon_communities_report.md,Ch5.2 Socio-economic conditions and pressures,partial,Table heading present; verify extracted values before publication.
TAB-06,Profile of Vulnerable Groups in Project Regions (SDP-2),source_reports/socio_demographic_profile_report_of_waca_blue_carbon_communities_report.md,Ch5.2 Socio-economic conditions and pressures,partial,Table heading present; verify full cells.
TAB-07,Synthesis of Socio-Demographic Pressures Across Ramsar Sites (SDP-3),source_reports/socio_demographic_profile_report_of_waca_blue_carbon_communities_report.md,Ch5.2 Socio-economic conditions and pressures,partial,Table heading present; verify full cells.
TAB-08,Spatial Risk Hotspot Matrix (RAS.1),source_reports/risk_assessment_and_safeguards_report.md,Ch9 Implications for protection restoration and management,partial,Table heading present; full matrix not rendered in normalized markdown.
TAB-09,Comparative Matrix of Primary Degradation Drivers Across Ramsar Sites (EPCRT1),source_reports/environmental_pressures_and_community_dependency_report.md,Ch5.3 Ecosystem health baseline,partial,Table heading present; retrieve full annex content before drafting.
TAB-10,Summary of Local Conservation Practices and Taboos by Site (EPCRT2),source_reports/environmental_pressures_and_community_dependency_report.md,Ch5.3 Ecosystem health baseline,partial,Table heading present; full annex content required.
TAB-11,CREMA Readiness Assessment Matrix (GICRT2),source_reports/governance_institutions_and_crema_readiness_report.md,Ch5.2 Socio-economic conditions and pressures,partial,Table heading present; full matrix details need confirmation.
TAB-12,Summary of Institutional Capacity Gaps and Needs (GICRT3),source_reports/governance_institutions_and_crema_readiness_report.md,Ch9 Implications for protection restoration and management,partial,Table heading present; verify full rows.
TAB-13,Criteria for Assessing Blue Carbon-Compatible Livelihoods (LDBRT1),source_reports/livelihood_diversification_and_blue_carbon_readiness_report.md,Ch9 Implications for protection restoration and management,partial,Table heading present; full table body not captured in quick extract.
TAB-14,Comparative Readiness of Livelihood Options Across Ramsar Sites (LDBRT2),source_reports/livelihood_diversification_and_blue_carbon_readiness_report.md,Ch9 Implications for protection restoration and management,partial,Table heading present; needs row-level verification.
TAB-15,Disaggregated Livelihood Roles by Ramsar Site (GSIT1),source_reports/gender_and_social_inclusion_report.md,Ch5.2 Socio-economic conditions and pressures,partial,Annex table listed; full annex content not fully rendered in normalized markdown.
TAB-16,Summary of GSI Barriers and Enablers by Ramsar Site (GSIT2),source_reports/gender_and_social_inclusion_report.md,Ch5.2 Socio-economic conditions and pressures,partial,Annex table listed; full annex content not fully rendered in normalized markdown.
TAB-17,Community-Ranked Infrastructure Priorities Across Select Sites (CIGT1),source_reports/capacity_needs_assessment_report.md,Ch9 Implications for protection restoration and management,partial,Table heading present; confirm values in source.
TAB-18,Integrated Capacity Intervention Matrix (CIGT2),source_reports/capacity_needs_assessment_report.md,Ch10 Recommendations and next steps,partial,Table heading present; confirm values in source.
TAB-19,Summary of Household Fuel Use by Ramsar Site (Cookstove Table 1),source_reports/baseline_for_improved_cookstove_interventions_report.md,Ch5.2 Socio-economic conditions and pressures,partial,Table heading present; validate detailed entries before use.
TAB-20,Seasonal Calendar of Fishing and Fuelwood Demand (Cookstove Table 2),source_reports/baseline_for_improved_cookstove_interventions_report.md,Ch5.2 Socio-economic conditions and pressures,partial,Table heading present; verify seasonal matrix values.
TAB-21,Barriers and Drivers for Improved Cookstove Adoption (Cookstove Table 3),source_reports/baseline_for_improved_cookstove_interventions_report.md,Ch10 Recommendations and next steps,partial,Table heading present; full structure not yet extracted.
TAB-22,Baseline Data Alignment with Verra and Gold Standard (Cookstove Table 4),source_reports/baseline_for_improved_cookstove_interventions_report.md,Ch8 MRV system,partial,Useful for MRV linkage; verify detailed fields.
TAB-23,Final report synthesis matrix template (site x monitoring priority),source_reports/blue_carbon_final_report_blueprint.md,Ch5.5 Cross-cutting synthesis,ready,Template table explicitly provided in blueprint and can be reused directly.
TAB-24,Monitoring station allocation summary (Keta 57 and Ada 23),source_reports/monitoring_plan_for_keta_and_ada.md,Ch7 Continuous monitoring setup,ready,Counts explicitly available in text and can be tabulated immediately.
TAB-25,Carbon stock by site or stratum (final inventory output),source_reports/soil_and_carbon_data.md,Ch5.4 Carbon baseline inventory,pending,Chapter requires this table but final verified stock table is not yet packaged in current normalized set.
