figure_id,provisional_title,source_file,chapter_destination,status,notes
FIG-01,Landcover - Coastal Landscape (Figure 1),source_reports/geo_social_mangrove_extent_baseline_report.md,Ch5.1 Mangrove extent and distribution,partial,Caption exists in normalized report; underlying image file not separately packaged in repo.
FIG-02,Mangrove Distribution Map - Coastal Landscape (Figure 2),source_reports/geo_social_mangrove_extent_baseline_report.md,Ch5.1 Mangrove extent and distribution,partial,Caption exists; image asset not directly linked in markdown.
FIG-03,Landcover Map - Keta Lagoon (Figure 3),source_reports/geo_social_mangrove_extent_baseline_report.md,Ch5.1 Mangrove extent and distribution,partial,Caption exists; verify source raster/export before final layout.
FIG-04,Mangrove Distribution Map - Keta Lagoon (Figure 4),source_reports/geo_social_mangrove_extent_baseline_report.md,Ch5.1 Mangrove extent and distribution,partial,Caption exists; verify source raster/export before final layout.
FIG-05,Landcover Map - Songor (Figure 5),source_reports/geo_social_mangrove_extent_baseline_report.md,Ch5.1 Mangrove extent and distribution,partial,Caption exists; image file not directly present in markdown repo.
FIG-06,Mangrove Distribution Map - Songor (Figure 6),source_reports/geo_social_mangrove_extent_baseline_report.md,Ch5.1 Mangrove extent and distribution,partial,Caption exists; image file not directly present in markdown repo.
FIG-07,Landcover Map - Muni Pomadze (Figure 7),source_reports/geo_social_mangrove_extent_baseline_report.md,Ch5.1 Mangrove extent and distribution,partial,Caption exists; image file not directly present in markdown repo.
FIG-08,Keta Lagoon boundary map layer (GeoTIFF),source_reports/keta_lagoon.tif,Ch4 Study Areas and Context,ready,GeoTIFF present; cartographic styling/legend still needed for publication.
FIG-09,Keta Lagoon Ramsar boundary polygon,source_reports/keta_lagoon_ramsar_boundary.geojson,Ch4 Study Areas and Context,ready,Boundary geometry file present and reusable in map composition.
FIG-10,Keta Lagoon boundary polygon,source_reports/keta_lagoon_boundary.geojson,Ch4 Study Areas and Context,ready,Boundary geometry file present; confirm preferred canonical boundary version.
FIG-11,Dzita restoration area NDMI boundary,source_reports/dzita_restoration_areas_ndmi_03mar2026_boundary.geojson,Ch6 Drone outputs and spatial monitoring readiness,ready,Usable as pilot restoration boundary layer.
FIG-12,Salo restoration area NDMI boundary,source_reports/salo_restoration_area_ndmi_26feb2026_boundary.geojson,Ch6 Drone outputs and spatial monitoring readiness,ready,Usable as restoration boundary layer.
FIG-13,Salo permanent sample plot NDMI boundary,source_reports/salo_permanent_sampla_plot_1_ndmi_03mar2026_boundary.geojson,Ch6 Drone outputs and spatial monitoring readiness,ready,Usable as PSP boundary illustration.
FIG-14,Avu protection area NDMI boundary,source_reports/avu_protection_area_ndmi_21feb2026_boundary.geojson,Ch6 Drone outputs and spatial monitoring readiness,ready,Usable as protection area boundary layer.
FIG-15,Aborlove protection area NDMI boundary,source_reports/aborlove_protection_area_ndmi_26feb2026_boundary.geojson,Ch6 Drone outputs and spatial monitoring readiness,ready,Usable as protection area boundary layer.
FIG-16,Monitoring stations concept map (Keta 57 and Ada 23),source_reports/monitoring_plan_for_keta_and_ada.md,Ch7 Continuous monitoring setup,pending,Concept specified in text but no station shapefile or map image found.
FIG-17,Ecosystem baseline visuals from Keta/Ada ecosystem report,source_reports/ecosystem_report_keta_ada_final_edits_ef_17032026.pdf,Ch5.3 Ecosystem health baseline,pending,PDF asset present but figure extraction pending in current workflow.
FIG-18,MRV platform dashboard screenshot (national overview),source_reports/blue_carbon_mrv_report.md,Ch8 MRV system,missing,Required by blueprint logic but no screenshot/export stored in current repo.
FIG-19,MRV pressure hotspot map screenshot/export,source_reports/blue_carbon_mrv_report.md,Ch8 MRV system,missing,Conceptual in report text; export artifact not found in repo.
FIG-20,Drone orthomosaic collage of current conditions,source_reports/terms_of_reference_revised_mlnr.md,Ch6 Drone outputs and spatial monitoring readiness,missing,ToR requires drone/aerial collage annex but no compiled collage file found.
